"(PDH-CSV 4.0) (","\\GUOXIANG-PC\Processor(_Total)\% Privileged Time","\\GUOXIANG-PC\Processor(_Total)\% User Time","\\GUOXIANG-PC\Processor(_Total)\% Processor Time","\\GUOXIANG-PC\System\Processor Queue Length"
"04/03/2014 11:19:49.625"," "," "," ","1"
"04/03/2014 11:19:50.658","6.811731067577603","15.894039157681075","22.800381234120493","0"
"04/03/2014 11:19:51.691","1.5122873711857814","8.3175805415217976","10.018901414446013","4"
"04/03/2014 11:19:52.732","7.5046906117449161","8.2551596729194063","16.697934209631438","1"
"04/03/2014 11:19:53.767","28.679243897757278","36.981130289213333","64.528303600142323","8"
"04/03/2014 11:19:54.833","18.315019173744489","32.234433745790298","50.915748614364766","0"
"04/03/2014 11:19:55.866","13.623462135155206","35.572373352905259","49.290446496922279","1"
"04/03/2014 11:19:56.893","10.64638835085084","12.927757283176019","23.193912611718936","0"
"04/03/2014 11:19:57.927","3.7771482074150167","12.086874263728054","16.147309795386622","2"
"04/03/2014 11:19:58.958","9.0995255143415807","11.374406892926975","20.37915174951117","0"
"04/03/2014 11:19:59.994","5.2780396489716379","6.786050977249249","12.535342959898577","0"
"04/03/2014 11:20:01.027","9.829867912707579","8.3175805415217976","18.336481955967809","0"
"04/03/2014 11:20:02.061","19.641170678558087","21.152029961524093","41.076487964325736","1"
"04/03/2014 11:20:03.119","10.341643460412708","10.341643460412708","20.221607591101964","0"
"04/03/2014 11:20:04.152","9.0737242271146883","10.58601159830047","19.848769327153583","5"
"04/03/2014 11:20:05.177","8.3809525852879876","22.095238633941054","29.904760195773207","4"
"04/03/2014 11:20:06.210","8.3175797364932667","13.610585023352616","22.117207921926685","0"
"04/03/2014 11:20:07.227","6.1479350561650756","9.2219025842476121","15.465892977730212","0"
"04/03/2014 11:20:08.251","17.540514133883946","25.929455676176268","42.802671302552355","0"
"04/03/2014 11:20:09.293","5.2483598245745027","8.9971882706991462","15.276477117583031","0"
"04/03/2014 11:20:10.307","10.789981530511158","19.267824161627068","29.865120051677472","0"
"04/03/2014 11:20:11.380","10.191082683852722","16.014558503197136","25.750683303358734","3"
"04/03/2014 11:20:12.402","7.6481833692222807","52.007646910711514","60.229446480044132","0"
"04/03/2014 11:20:13.573","8.6738951902231651","18.015013087386574","26.605502236573219","0"
"04/03/2014 11:20:14.607","6.7988667733470303","14.353163188177065","21.435317285767653","0"
"04/03/2014 11:20:15.844","6.3141277973000509","26.519336748660212","31.807419789159454","1"
"04/03/2014 11:20:16.939","2.1409455109613669","11.418376058460623","13.648531057891534","0"
"04/03/2014 11:20:18.034","14.986619945712468","23.550402771833877","38.62622307946323","0"
"04/03/2014 11:20:19.124","14.336916904972988","24.372758738454078","39.784948999113453","0"
"04/03/2014 11:20:20.157","10.58601159830047","14.366730026264923","23.629487755118038","3"
"04/03/2014 11:20:21.206","17.132216423263259","26.070764122357133","43.389197905738797","8"
"04/03/2014 11:20:22.291","7.9207916229246944","18.001799143010672","26.552659496516462","0"
"04/03/2014 11:20:23.335","4.4859812010830673","3.738317667569222","8.0373853777971345","0"
"04/03/2014 11:20:24.369","3.7807184279644539","18.903592139822265","22.873344069525146","0"
"04/03/2014 11:20:25.382","5.3949902330329955","14.643544918232418","19.845859394938348","2"
"04/03/2014 11:20:26.402","13.793104124719283","15.325671249688092","29.501912251434781","0"
"04/03/2014 11:20:27.435","12.854442655079144","12.854442655079144","25.897918811896716","0"
"04/03/2014 11:20:28.469","12.842303905211057","22.662889244490099","34.277621190978699","0"
"04/03/2014 11:20:29.494","12.964727838088134","23.64156252827836","37.464253957457238","5"
"04/03/2014 11:20:30.590","15.672306143717257","49.86642863910037","65.805877504616888","0"
"04/03/2014 11:20:31.626","6.786050977249249","3.0160226565552213","8.7653146392045471","0"
"04/03/2014 11:20:32.651","8.3889423611938145","13.72736022740806","22.97425650176589","0"
"04/03/2014 11:20:33.685","8.3097260563130373","17.374881754109079","25.967895134665664","0"
"04/03/2014 11:20:34.713","15.954416148353776","25.83095947828707","41.500474122702826","0"
"04/03/2014 11:20:35.734","3.8277508679746624","7.6555017359493247","10.430629689392902","0"
"04/03/2014 11:20:36.747","10.800385861374098","20.057859456837608","32.11186029993425","1"
"04/03/2014 11:20:37.771","1.5252622474897843","9.1515734849387069","10.009527398102724","0"
"04/03/2014 11:20:38.807","9.0480679696656647","15.834118946914913","25.353439250258269","0"
"04/03/2014 11:20:39.840","7.5614361240847874","11.342154186127182","19.092633472292764","9"
"04/03/2014 11:20:40.882","14.24554809527365","19.493907919848152","33.270853658981324","0"
"04/03/2014 11:20:41.909","12.178878298028065","22.074216915175867","33.777349254472398","3"
"04/03/2014 11:20:42.938","18.216318343133064","14.42125202164701","32.447819477548222","3"
"04/03/2014 11:20:43.973","1.509433889355646","11.320754170167346","13.207551362050351","0"
"04/03/2014 11:20:45.006","6.0491494847431255","24.196597938972502","30.434780925454053","0"
"04/03/2014 11:20:46.041","5.2880074903810232","11.33144462224505","16.902739436869631","6"
"04/03/2014 11:20:47.063","6.8767910831602457","13.753582166320491","19.770770696463792","1"
"04/03/2014 11:20:48.098","5.2830186127447618","16.603772782912106","22.264154698184225","0"
"04/03/2014 11:20:49.118","4.5977013749064275","8.4291191873284497","13.409957439262277","1"
"04/03/2014 11:20:50.145","9.8859310777949894","24.334599576110744","33.840307402448921","2"
"04/03/2014 11:20:51.166","6.1244019888921963","16.076555220842014","22.679424890236021","0"
"04/03/2014 11:20:52.199","3.0245747423715628","13.610586340672032","16.824194584782028","0"
